Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,56,8,16.0,1.6,4.1,.384,1.1,3.0,.367,0.5,1.1,.429,.517,0.6,0.7,.872,0.4,1.3,1.7,0.4,0.5,0.1,0.4,1.7,4.9
2,Quincy Acy\acyqu01,PF,27,BRK,54,8,20.7,1.8,5.3,.336,1.4,4.2,.329,0.4,1.1,.361,.465,0.9,1.0,.821,0.7,3.5,4.1,0.8,0.5,0.4,1.0,2.1,5.8
3,Steven Adams\adamsst01,C,24,OKC,57,57,32.6,6.0,9.5,.631,0.0,0.0,.000,6.0,9.4,.634,.631,2.0,3.6,.571,5.1,3.9,9.1,1.0,1.2,1.1,1.5,2.9,14.0
4,Bam Adebayo\adebaba01,C,20,MIA,51,11,20.5,2.7,4.8,.551,0.0,0.1,.000,2.7,4.7,.564,.551,2.0,2.8,.732,1.6,3.8,5.4,1.6,0.5,0.6,0.9,2.1,7.4
5,Arron Afflalo\afflaar01,SG,32,ORL,45,2,12.8,1.2,3.0,.388,0.5,1.3,.386,0.7,1.7,.390,.470,0.4,0.5,.833,0.1,1.3,1.4,0.6,0.0,0.2,0.4,1.1,3.2
6,Cole Aldrich\aldrico01,C,29,MIN,15,0,2.1,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.1,0.3,.500,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,0.5
7,LaMarcus Aldridge\aldrila01,C,32,SAS,56,56,34.0,8.9,17.8,.502,0.4,1.4,.325,8.5,16.4,.516,.514,4.4,5.3,.838,3.3,5.0,8.3,2.1,0.5,1.2,1.5,2.2,22.8
8,Jarrett Allen\allenja01,C,19,BRK,52,11,18.5,3.2,5.4,.591,0.1,0.2,.333,3.1,5.2,.599,.596,1.4,1.8,.774,1.9,3.2,5.2,0.7,0.4,0.9,1.0,1.9,7.8
9,Kadeem Allen\allenka01,PG,25,BOS,7,0,3.9,0.1,0.9,.167,0.0,0.4,.000,0.1,0.4,.333,.167,0.4,0.6,.750,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.3,0.7
10,Tony Allen\allento01,SF,36,NOP,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
11,Al-Farouq Aminu\aminual01,PF,27,POR,47,45,30.1,3.4,8.4,.408,1.9,4.7,.395,1.6,3.7,.424,.519,0.8,1.0,.750,1.2,6.1,7.3,1.1,0.9,0.6,1.0,1.8,9.5
12,Justin Anderson\anderju01,SF,24,PHI,26,0,14.0,2.3,5.1,.444,0.8,2.4,.349,1.4,2.7,.529,.526,0.7,1.0,.680,0.7,1.7,2.3,0.6,0.4,0.2,0.3,1.5,6.0
13,Kyle Anderson\anderky01,SF,24,SAS,53,47,27.5,3.2,6.2,.520,0.2,0.7,.297,3.0,5.5,.548,.537,1.6,2.1,.741,1.1,4.6,5.7,2.8,1.4,0.8,1.4,1.5,8.2
14,Ryan Anderson\anderry01,PF,29,HOU,57,50,27.5,3.4,7.8,.433,2.1,5.5,.383,1.3,2.3,.554,.569,1.1,1.5,.783,1.5,3.8,5.3,0.9,0.4,0.3,0.7,1.9,10.0
15,Ike Anigbogu\anigbik01,C,19,IND,10,0,2.8,0.4,0.9,.444,0.0,0.0,,0.4,0.9,.444,.444,0.5,0.6,.833,0.5,0.4,0.9,0.0,0.1,0.3,0.2,0.1,1.3
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,55,55,37.2,10.2,19.0,.535,0.5,1.7,.281,9.7,17.2,.561,.548,6.8,9.0,.756,2.2,8.1,10.3,4.9,1.4,1.3,2.8,3.0,27.6
17,Carmelo Anthony\anthoca01,PF,33,OKC,59,59,32.3,6.4,15.6,.410,2.1,6.0,.353,4.3,9.6,.445,.478,2.1,2.7,.770,0.7,5.2,5.9,1.3,0.6,0.6,1.3,2.6,17.0
18,OG Anunoby\anunoog01,SF,20,TOR,59,47,20.6,2.2,4.8,.447,1.0,2.8,.349,1.2,2.0,.585,.549,0.6,0.8,.700,0.6,1.8,2.4,0.8,0.8,0.2,0.6,1.7,5.9
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,13,0,9.2,0.4,0.9,.417,0.2,0.8,.300,0.2,0.2,1.000,.542,0.2,0.2,1.000,0.0,0.5,0.5,1.0,0.4,0.0,0.2,0.8,1.2
20,Trevor Ariza\arizatr01,SF,32,HOU,47,47,34.7,4.1,9.6,.424,2.7,7.1,.389,1.3,2.5,.525,.568,1.1,1.3,.871,0.6,4.1,4.7,1.5,1.5,0.2,0.9,1.9,12.0
21,Darrell Arthur\arthuda01,PF,29,DEN,15,1,8.6,1.3,2.8,.476,0.4,1.3,.316,0.9,1.5,.609,.548,0.1,0.2,.667,0.2,0.8,1.0,0.6,0.5,0.1,1.0,1.3,3.2
22,Jamel Artis\artisja01,SG,25,ORL,5,0,11.0,0.8,3.4,.235,0.0,1.0,.000,0.8,2.4,.333,.235,0.2,0.6,.333,0.2,1.2,1.4,0.8,0.0,0.0,0.0,0.0,1.8
23,Omer Asik\asikom01,C,31,NOP,14,0,8.6,0.5,1.1,.438,0.0,0.0,,0.5,1.1,.438,.438,0.3,0.9,.333,0.5,2.1,2.6,0.1,0.1,0.1,0.4,1.0,1.3
24,D.J. Augustin\augusdj01,PG,30,ORL,53,14,21.4,2.8,6.4,.431,1.4,3.4,.408,1.4,3.0,.456,.538,2.1,2.5,.862,0.3,1.5,1.9,3.3,0.8,0.0,1.4,1.2,9.0
25,Luke Babbitt\babbilu01,SF,28,TOT,40,9,14.9,2.1,4.4,.469,1.3,3.0,.432,0.8,1.4,.544,.614,0.4,0.6,.773,0.2,2.0,2.2,0.7,0.2,0.1,0.4,1.3,5.8
25,Luke Babbitt\babbilu01,SF,28,ATL,37,9,15.4,2.2,4.5,.476,1.3,3.0,.441,0.8,1.5,.544,.622,0.5,0.6,.773,0.1,2.1,2.2,0.7,0.2,0.1,0.4,1.3,6.1
25,Luke Babbitt\babbilu01,SF,28,MIA,3,0,8.3,0.7,2.3,.286,0.7,2.3,.286,0.0,0.0,,.429,0.0,0.0,,0.3,1.7,2.0,0.3,0.0,0.0,0.7,1.3,2.0
26,Dwayne Bacon\bacondw01,SG,22,CHO,38,6,12.5,1.1,3.1,.347,0.3,0.9,.303,0.8,2.2,.365,.390,0.3,0.4,.714,0.1,2.3,2.4,0.6,0.2,0.1,0.4,1.0,2.7
27,Ron Baker\bakerro01,SG,24,NYK,29,1,13.3,0.7,2.0,.339,0.4,1.1,.333,0.3,0.9,.346,.432,0.7,0.9,.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4
28,Lonzo Ball\balllo01,PG,20,LAL,38,36,33.3,3.9,10.8,.363,1.7,5.4,.319,2.2,5.4,.406,.442,0.7,1.4,.500,1.3,5.8,7.1,7.0,1.5,0.8,2.7,2.1,10.2
29,J.J. Barea\bareajo01,PG,33,DAL,56,5,23.5,4.3,10.0,.430,1.6,4.5,.362,2.6,5.4,.487,.513,1.3,1.7,.781,0.2,2.8,3.0,6.3,0.5,0.1,1.9,1.3,11.6
30,Harrison Barnes\barneha02,PF,25,DAL,59,59,34.3,6.8,15.2,.447,1.4,4.1,.342,5.4,11.1,.486,.493,3.2,3.9,.830,1.1,5.4,6.5,1.8,0.7,0.2,1.5,1.2,18.2
31,Will Barton\bartowi01,SG,27,DEN,59,25,32.5,5.5,12.3,.450,1.8,5.0,.367,3.7,7.2,.507,.525,2.0,2.6,.779,0.8,4.0,4.8,4.1,1.1,0.6,1.8,2.0,14.9
32,Nicolas Batum\batumni01,SG,29,CHO,46,46,31.5,4.4,10.6,.415,1.5,4.6,.333,2.9,6.0,.478,.488,1.6,2.0,.800,0.8,3.5,4.4,4.9,1.1,0.3,2.0,1.2,11.9
33,Jerryd Bayless\bayleje01,SG,29,PHI,39,11,23.7,2.8,6.7,.416,1.4,3.7,.370,1.4,3.0,.474,.519,0.9,1.1,.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9
34,Aron Baynes\baynear01,C,31,BOS,61,47,17.8,2.4,5.1,.468,0.0,0.1,.000,2.4,5.0,.482,.468,0.8,1.1,.735,1.4,3.7,5.1,0.9,0.3,0.7,0.9,2.4,5.6
35,Kent Bazemore\bazemke01,SG,28,ATL,60,60,27.8,4.4,10.5,.414,1.7,4.2,.390,2.7,6.3,.431,.493,2.6,3.3,.796,0.4,3.6,4.0,3.6,1.6,0.7,2.4,2.3,13.0
36,Bradley Beal\bealbr01,SG,24,WAS,60,60,36.5,8.7,18.7,.464,2.5,6.5,.375,6.2,12.2,.512,.529,3.9,4.9,.800,0.8,3.7,4.5,4.4,1.2,0.5,2.5,1.9,23.7
37,Malik Beasley\beaslma01,SG,21,DEN,51,0,10.3,1.3,3.1,.400,0.4,1.4,.300,0.8,1.8,.478,.466,0.3,0.5,.654,0.3,1.0,1.3,0.5,0.3,0.1,0.4,0.7,3.3
38,Michael Beasley\beaslmi01,PF,29,NYK,55,14,21.0,5.2,10.5,.495,0.4,1.0,.407,4.8,9.5,.504,.514,1.9,2.4,.786,1.3,4.1,5.4,1.4,0.5,0.6,1.9,1.8,12.6
39,Marco Belinelli\belinma01,SG,31,TOT,56,1,23.5,3.9,9.3,.413,1.8,4.8,.371,2.1,4.6,.457,.508,1.9,2.1,.922,0.3,1.6,1.9,1.9,0.9,0.1,1.1,0.8,11.4
39,Marco Belinelli\belinma01,SG,31,ATL,52,1,23.3,3.8,9.3,.411,1.8,4.8,.372,2.1,4.6,.451,.506,1.9,2.1,.927,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,11.4
39,Marco Belinelli\belinma01,SG,31,PHI,4,0,26.8,4.3,9.8,.436,1.8,5.0,.350,2.5,4.8,.526,.526,1.5,1.8,.857,0.3,1.5,1.8,0.5,0.5,0.0,1.8,1.5,11.8
40,Jordan Bell\belljo01,C,23,GSW,39,11,14.4,2.3,3.4,.667,0.0,0.1,.000,2.3,3.3,.682,.667,0.5,0.8,.656,1.2,2.6,3.8,1.8,0.7,1.1,1.0,1.8,5.1
41,DeAndre' Bembry\bembrde01,SF,23,ATL,21,0,17.3,1.9,4.8,.396,0.4,1.1,.333,1.5,3.7,.416,.436,0.7,1.2,.600,0.4,2.3,2.7,1.5,0.6,0.5,1.8,1.5,4.9
42,Dragan Bender\bendedr01,PF,20,PHO,62,17,23.4,2.2,5.6,.388,1.4,3.7,.377,0.8,1.9,.410,.513,0.4,0.5,.735,0.4,3.4,3.9,1.4,0.3,0.6,1.3,2.0,6.2
43,Davis Bertans\bertada01,PF,25,SAS,57,7,15.1,2.2,5.0,.437,1.2,3.4,.364,0.9,1.6,.596,.562,0.5,0.6,.833,0.3,1.9,2.2,0.9,0.3,0.4,0.5,1.2,6.1
44,Patrick Beverley\beverpa01,SG,29,LAC,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,.504,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
45,Khem Birch\birchkh01,C,25,ORL,23,0,11.9,1.3,2.5,.526,0.0,0.0,,1.3,2.5,.526,.526,0.7,1.2,.607,1.5,2.1,3.6,0.7,0.4,0.4,0.5,1.3,3.3
46,Jabari Bird\birdja01,SG,23,BOS,4,0,5.5,0.3,1.0,.250,0.0,0.5,.000,0.3,0.5,.500,.250,0.8,1.3,.600,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.5,1.3
47,Bismack Biyombo\biyombi01,C,25,ORL,60,23,19.2,2.2,4.2,.526,0.0,0.0,.000,2.2,4.2,.528,.526,1.4,2.1,.661,1.8,4.1,5.8,0.7,0.3,1.3,1.1,2.1,5.8
48,Nemanja Bjelica\bjeline01,PF,29,MIN,49,6,16.5,2.2,4.6,.484,1.0,2.3,.430,1.2,2.2,.541,.594,0.5,0.6,.828,0.6,2.7,3.3,1.1,0.7,0.1,0.6,1.8,5.9
49,Tarik Black\blackta01,C,26,HOU,38,1,10.4,1.6,2.7,.583,0.0,0.2,.000,1.6,2.5,.632,.583,0.6,1.2,.457,1.3,1.7,3.0,0.2,0.4,0.6,0.8,2.2,3.7
50,Antonio Blakeney\blakean01,SG,21,CHI,12,0,14.2,2.5,6.8,.366,0.8,2.5,.300,1.8,4.3,.404,.421,1.3,1.8,.762,0.3,1.4,1.7,0.6,0.2,0.0,0.7,0.7,7.1
51,Eric Bledsoe\bledser01,PG,28,TOT,51,51,31.1,6.2,13.5,.456,1.6,4.9,.328,4.5,8.6,.530,.516,3.4,4.3,.786,0.7,3.1,3.7,4.5,2.1,0.6,3.0,2.4,17.3
51,Eric Bledsoe\bledser01,PG,28,PHO,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7
51,Eric Bledsoe\bledser01,PG,28,MIL,48,48,31.3,6.2,13.5,.460,1.6,4.9,.329,4.6,8.6,.535,.520,3.4,4.3,.786,0.7,3.2,3.8,4.6,2.1,0.6,2.9,2.4,17.4
52,Vander Blue\blueva01,SG,25,LAL,5,0,9.0,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.2,0.4,.500,0.0,0.2,0.2,0.6,0.2,0.0,0.6,0.4,0.6
53,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,57,32,27.4,4.3,9.4,.460,1.6,4.0,.401,2.7,5.4,.503,.545,1.3,1.5,.849,0.4,2.4,2.8,3.2,1.0,0.3,1.7,2.2,11.5
54,Bojan Bogdanovic\bogdabo02,SF,28,IND,59,59,30.7,4.9,10.4,.471,1.8,4.8,.384,3.1,5.6,.545,.559,2.1,2.4,.852,0.4,2.9,3.3,1.4,0.7,0.1,1.3,1.6,13.7
55,Andrew Bogut\bogutan01,C,33,LAL,24,5,9.0,0.7,1.0,.680,0.0,0.0,,0.7,1.0,.680,.680,0.1,0.1,1.000,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5
56,Joel Bolomboy\bolomjo01,PF,24,MIL,6,0,6.3,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600,.500,0.5,1.0,.500,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5
57,Devin Booker\bookede01,SG,21,PHO,47,47,34.4,8.2,19.2,.430,2.7,7.2,.380,5.5,12.0,.459,.501,5.6,6.3,.885,0.5,4.1,4.6,4.8,0.9,0.3,3.6,3.1,24.7
58,Trevor Booker\booketr01,PF,30,TOT,51,5,17.4,2.7,5.1,.533,0.1,0.4,.263,2.6,4.7,.554,.542,1.1,1.6,.683,1.7,3.1,4.7,1.3,0.5,0.3,1.0,1.8,6.6
58,Trevor Booker\booketr01,PF,30,BRK,18,5,21.9,4.3,8.3,.513,0.2,0.7,.250,4.1,7.7,.536,.523,1.3,2.4,.558,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1
58,Trevor Booker\booketr01,PF,30,PHI,33,0,15.0,1.8,3.3,.560,0.1,0.2,.286,1.8,3.1,.578,.569,1.0,1.2,.821,1.4,2.3,3.7,0.8,0.5,0.3,0.6,1.5,4.7
59,Avery Bradley\bradlav01,SG,27,TOT,46,46,31.2,5.6,13.6,.414,1.6,4.4,.369,4.0,9.2,.436,.474,1.4,1.8,.768,0.5,2.0,2.5,2.0,1.1,0.2,2.2,2.0,14.3
59,Avery Bradley\bradlav01,SG,27,DET,40,40,31.7,5.8,14.3,.409,1.9,4.9,.381,4.0,9.4,.423,.474,1.5,2.0,.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2.0,15.0
59,Avery Bradley\bradlav01,SG,27,LAC,6,6,27.5,4.3,9.2,.473,0.2,1.5,.111,4.2,7.7,.543,.482,0.3,0.3,1.000,0.5,3.2,3.7,1.8,0.8,0.2,1.3,2.0,9.2
60,Tony Bradley\bradlto01,C,20,UTA,8,0,3.5,0.4,1.4,.273,0.0,0.1,.000,0.4,1.3,.300,.273,0.3,0.3,1.000,0.5,0.9,1.4,0.1,0.0,0.0,0.0,0.1,1.0
61,Corey Brewer\breweco01,SF,31,LAL,54,2,12.9,1.4,3.2,.453,0.1,0.8,.186,1.3,2.4,.543,.477,0.6,0.9,.667,0.4,1.3,1.7,0.8,0.8,0.1,0.7,1.5,3.7
62,Malcolm Brogdon\brogdma01,PG,25,MIL,46,20,30.5,5.2,10.6,.487,1.3,3.4,.378,3.9,7.2,.538,.547,1.6,1.8,.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.8,13.3
